universidade,sigla,estado
ACADEMIA DA FORÇA AÉREA,AFA,SP
ACADEMIA DA POLÍCIA CIVIL DO ESTADO DA BAHIA,ACADEPOL,BA
ACADEMIA DE POLÍCIA MILITAR DO BARRO BRANCO,APMBB,SP
ACADEMIA DE POLÍCIA MILITAR DOM JOÃO VI,APMDJVI,RJ
ACADEMIA DE POLÍCIA MILITAR,APM,BA
ACADEMIA MILITAR DE AGULHAS NEGRAS,AMAN,RJ
ANHANGUERA EDUCACIONAL S.A.,UNIANHANGUERA,RS
ANHANGUERA EDUCACIONAL,AESA,SP
ASSOCIAÇÃO CATARINENSE DE ENSINO,ACE,SC
ASSOCIAÇÃO DE ENSINO SUPERIOR DO PIAUÍ,AESPI,PI
ASSOCIAÇÃO SUL MINEIRA DE EDUCAÇÃO E CULTURA,ASMEC,MG
ASSOCIAÇÃO VILHENENSE DE EDUCAÇÃO E CULTURA,AVEC,RO
AVM - FACULDADE INTEGRADA,IAVM,RJ
BUSINESS SCHOOL SÃO PAULO,BSP,SP
CATÓLICA NOSSA SENHORA DAS NEVES,Faculdade,RN
CENTRO DE EDUCAÇÃO DA AMAZÔNIA,CEAMA,PA
CENTRO DE EDUCAÇÃO SUPERIOR BARNABITA,CESB,MG
CENTRO DE EDUCAÇÃO TECNOLÓGICO,CET,PI
CENTRO DE ENSINO SUPERIOR ARCANJO MIKAEL DE ARAPIRACA,CESAMA,AL
CENTRO DE ENSINO SUPERIOR CENECISTA DE FARROUPILHA,CESF,RS
CENTRO DE ENSINO SUPERIOR DE ARCOVERDE,CESA,PE
CENTRO DE ENSINO SUPERIOR DE CATALÃO 1,CESUC,GO
CENTRO DE ENSINO SUPERIOR DE CONSELHEIRO LAFAIETE,CES-CL,MG
CENTRO DE ENSINO SUPERIOR DE ITABIRA,CENSI,MG
CENTRO DE ENSINO SUPERIOR DE JUIZ DE FORA,CES/JF,MG
CENTRO DE ENSINO SUPERIOR DE UBERABA,CESUBE,MG
CENTRO DE ENSINO SUPERIOR DE VITÓRIA,CESV,ES
CENTRO DE ENSINO SUPERIOR DO AMAPÁ,CEAP,AP
CENTRO DE ENSINO SUPERIOR DO VALE DO PARNAÍBA,CESVALE,PI
CENTRO DE ENSINO SUPERIOR DO VALE DO SÃO FRANCISCO,CESVASF,PE
CENTRO DE ENSINO SUPERIOR DOS CAMPOS GERAIS,CESCAGE,PR
CENTRO DE ENSINO UNIFICADO DE TERESINA,CEUT,PI
CENTRO DE ESTUDOS SUPERIORES APRENDIZ,CESA,MG
CENTRO DE ESTUDOS SUPERIORES DE MACEIÓ,CESMAC,AL
CENTRO DE INSTRUÇÃO ALMIRANTE BRAZ DE AGUIAR,CIABA,PA
CENTRO DE INSTRUÇÃO ALMIRANTE GRAÇA ARANHA,CIAGA,RJ
CENTRO EDUCACIONAL CONCEIÇÃO NUNES,CECON,MG
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA,CEFET/RJ,RJ
CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA DE MINAS GERAIS,CEFETMG,MG
CENTRO SUPERIOR DE ENSINO E PESQUISA DE MACHADO,CESEP,MG
CENTRO TÉCNICO-EDUCACIONAL SUPERIOR DO OESTE PARANAENSE,CTESOP,PR
CENTRO UNIVERISTÁRIO DA FACULDADE ESTÁCIO DE SÁ DE BELO HORIZONTE,FESBH,MG
CENTRO UNIVERSITÁRIO - CATÓLICA DE SANTA CATARINA EM JARAGUÁ DO SUL,Católica em Jaraguá,SC
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,SP
CENTRO UNIVERSITÁRIO ADVENTISTA DE SÃO PAULO,UNASP,SP
CENTRO UNIVERSITÁRIO AMPARENSE,UNIFIA,SP
CENTRO UNIVERSITÁRIO ANHANGUERA DE NITERÓI,UNIAN,RJ
CENTRO UNIVERSITÁRIO ANHANGUERA DE SÃO PAULO,UNIBERO,SP
CENTRO UNIVERSITÁRIO ANHANGÜERA,UNIFIAN,SP
CENTRO UNIVERSITÁRIO ANTÔNIO EUFRÁSIO DE TOLEDO DE PRESIDENTE PRUDENTE,FIAETPP,SP
CENTRO UNIVERSITÁRIO ASSUNÇÃO,UNIFAI,SP
CENTRO UNIVERSITÁRIO AUGUSTO MOTTA,UNISUAM,RJ
CENTRO UNIVERSITÁRIO BARÃO DE MAUÁ,CBM,SP
CENTRO UNIVERSITÁRIO BELAS ARTES DE SÃO PAULO,FEBASP,SP
CENTRO UNIVERSITÁRIO CAMPOS DE ANDRADE,UNIANDRADE,PR
CENTRO UNIVERSITÁRIO CARIOCA,UNICARIOCA,RJ
CENTRO UNIVERSITÁRIO CATÓLICO SALESIANO AUXILIUM,UNISALESIANO,SP
CENTRO UNIVERSITÁRIO CELSO LISBOA,UCL,RJ
CENTRO UNIVERSITÁRIO CENTRAL PAULISTA,UNICEP,SP
CENTRO UNIVERSITÁRIO CLARETIANO,CEUCLAR,SP
CENTRO UNIVERSITÁRIO CURITIBA,UNICURITIBA,PR
CENTRO UNIVERSITÁRIO CÂNDIDO RONDON,UNIRONDON,MT
CENTRO UNIVERSITÁRIO DA CIDADE DO RIO DE JANEIRO,UNIVERCIDADE,RJ
CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL DE BARRETOS,UNIFEB,SP
CENTRO UNIVERSITÁRIO DA FUNDAÇÃO EDUCACIONAL INACIANA PE SABÓIA DE MEDEIROS,FEI,SP
CENTRO UNIVERSITÁRIO DA GRANDE DOURADOS,UNIGRAN,MS
CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO,UNIFAE,SP
CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,FMU,SP
CENTRO UNIVERSITÁRIO DE ANÁPOLIS,UNIEVANGÉLICA,GO
CENTRO UNIVERSITÁRIO DE ARARAQUARA,UNIARA,TO
CENTRO UNIVERSITÁRIO DE ARARAS - DR. EDMUNDO ULSON,UNAR,SP
CENTRO UNIVERSITÁRIO DE BARRA MANSA,UBM,RJ
CENTRO UNIVERSITÁRIO DE BELFORD ROXO,UNIABEU,RJ
CENTRO UNIVERSITÁRIO DE BELO HORIZONTE,UNIBH,MG
CENTRO UNIVERSITÁRIO DE BRASÍLIA,CEUB,DF
CENTRO UNIVERSITÁRIO DE BRUSQUE,UNIFEBE,SC
CENTRO UNIVERSITÁRIO DE CAMPO GRANDE,UNAES,MS
CENTRO UNIVERSITÁRIO DE CARATINGA,UNEC,MG
CENTRO UNIVERSITÁRIO DE DESENVOLVIMENTO DO CENTRO OESTE,UNIDESC,DF
CENTRO UNIVERSITÁRIO DE ENSINO SUPERIOR DO AMAZONAS,Ciesa,AM
CENTRO UNIVERSITÁRIO DE FORMIGA,UNIFORMG,MG
CENTRO UNIVERSITÁRIO DE FRANCA,UniFACEF,SP
CENTRO UNIVERSITÁRIO DE ITAJUBÁ,UNIVERSITAS,MG
CENTRO UNIVERSITÁRIO DE JARAGUÁ DO SUL,UNERJ,SC
CENTRO UNIVERSITÁRIO DE JOÃO PESSOA,UNIPE,PB
CENTRO UNIVERSITÁRIO DE LAVRAS,UNILAVRAS,MG
CENTRO UNIVERSITÁRIO DE MANDAGUARI - UNIMAN,FAFIMAN,PR
CENTRO UNIVERSITÁRIO DE MARINGÁ,CESUMAR,PR
CENTRO UNIVERSITÁRIO DE MINEIROS,UNIFIMES,GO
CENTRO UNIVERSITÁRIO DE PATOS DE MINAS,UNIPAM,MG
CENTRO UNIVERSITÁRIO DE RIO PRETO,UNIRP,SP
CENTRO UNIVERSITÁRIO DE SETE LAGOAS MONSENHOR MESSIAS,UNIFEMM,MG
CENTRO UNIVERSITÁRIO DE UNIÃO DA VITÓRIA,UNIUV,PR
CENTRO UNIVERSITÁRIO DE VOLTA REDONDA,UNIFOA,RJ
CENTRO UNIVERSITÁRIO DE VOTUPORANGA,UNIFEV,SP
CENTRO UNIVERSITÁRIO DE VÁRZEA GRANDE,UNIVAG,MT
CENTRO UNIVERSITÁRIO DINÂMICA DAS CATARATAS,UDC,PR
CENTRO UNIVERSITÁRIO DO CERRADO  PATROCÍNIO,UNICERP,MG
CENTRO UNIVERSITÁRIO DO DISTRITO FEDERAL,UDF,DF
CENTRO UNIVERSITÁRIO DO ESPÍRITO SANTO,UNESC,ES
CENTRO UNIVERSITÁRIO DO INSTITUTO MAUÁ DE TECNOLOGIA,CEUN-IMT,SP
CENTRO UNIVERSITÁRIO DO LESTE DE MINAS GERAIS,UNILESTE/MG,MG
CENTRO UNIVERSITÁRIO DO MARANHÃO,UNICEUMA,MA
CENTRO UNIVERSITÁRIO DO NORTE PAULISTA,UNORP,SP
CENTRO UNIVERSITÁRIO DO NORTE,Uninorte,AM
CENTRO UNIVERSITÁRIO DO PARÁ,CESUPA,PA
CENTRO UNIVERSITÁRIO DO PLANALTO DE ARAXÁ,UNIARAXÁ,MG
CENTRO UNIVERSITÁRIO DO TRIÂNGULO,UNITRI,MG
CENTRO UNIVERSITÁRIO DO VALE DO IPOJUCA,UNIVIP,PE
CENTRO UNIVERSITÁRIO ESTÁCIO DA BAHIA,ESTÁCIO FIB,BA
CENTRO UNIVERSITÁRIO ESTÁCIO DE SÁ DE SANTA CATARINA,FESSC,SC
CENTRO UNIVERSITÁRIO ESTÁCIO RADIAL DE SÃO PAULO - ESTÁCIO UNIRADIAL,ESTÁCIO UNIRADIAL,SP
CENTRO UNIVERSITÁRIO EURO-AMERICANO,UNIEURO,DF
CENTRO UNIVERSITÁRIO EURÍPEDES DE MARÍLIA,UNIVEM,SP
CENTRO UNIVERSITÁRIO FILADÉLFIA,UNIFIL,PR
CENTRO UNIVERSITÁRIO FLUMINENSE,UNIFLU,RJ
CENTRO UNIVERSITÁRIO FRANCISCANO,UNIFRA,RS
CENTRO UNIVERSITÁRIO FUNDAÇÃO DE ENSINO OCTÁVIO BASTOS - FEOB,UNIFEOB,SP
CENTRO UNIVERSITÁRIO FUNDAÇÃO INSTITUTO DE ENSINO PARA OSASCO,UNIFIEO,SP
CENTRO UNIVERSITÁRIO FUNDAÇÃO SANTO ANDRÉ,CUFSA,SP
CENTRO UNIVERSITÁRIO GERALDO DI BIASE,UGB,RJ
CENTRO UNIVERSITÁRIO HERMINIO OMETTO,UNIARARAS,SP
CENTRO UNIVERSITÁRIO HERMÍNIO DA SILVEIRA,UNI IBMR,RJ
CENTRO UNIVERSITÁRIO INTERNACIONAL,UNINTER,PR
CENTRO UNIVERSITÁRIO JORGE AMADO,UNIJORGE,BA
CENTRO UNIVERSITÁRIO LA SALLE,UNILASALLE,RS
CENTRO UNIVERSITÁRIO LEONARDO DA VINCI,UNIASSELVI,SC
CENTRO UNIVERSITÁRIO LUTERANO DE JIPARANÁ,CEULJI/ULBRA,RO
CENTRO UNIVERSITÁRIO LUTERANO DE PALMAS,CEULP/ULBRA,TO
CENTRO UNIVERSITÁRIO LUTERANO DE SANTARÉM,CEULS,PA
CENTRO UNIVERSITÁRIO MAURICIO DE NASSAU,UNINASSAU,PE
CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX,CEUNIH,MG
CENTRO UNIVERSITÁRIO METODISTA,IPA,RS
CENTRO UNIVERSITÁRIO METROPOLITANO DE SÃO PAULO,UNIMESP,SP
CENTRO UNIVERSITÁRIO MOACYR SREDER BASTOS,UNIMSB,RJ
CENTRO UNIVERSITÁRIO MONTE SERRAT,UNIMONTE,SP
CENTRO UNIVERSITÁRIO MOURA LACERDA,CUML,SP
CENTRO UNIVERSITÁRIO NEWTON PAIVA,NEWTON PAIVA,MG
CENTRO UNIVERSITÁRIO NILTON LINS,UNINILTONLINS,AM
CENTRO UNIVERSITÁRIO NOSSA SENHORA DO PATROCÍNIO,CEUNSP,SP
CENTRO UNIVERSITÁRIO PADRE ANCHIETA,UNIANCHIETA,SP
CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ,UNIDAVI,SC
CENTRO UNIVERSITÁRIO PLANALTO DO DISTRITO FEDERAL,UNIPLAN,DF
CENTRO UNIVERSITÁRIO RITTER DOS REIS,UNIRITTER,RS
CENTRO UNIVERSITÁRIO SALESIANO DE SÃO PAULO,UNISAL,SP
CENTRO UNIVERSITÁRIO SANT'ANNA,UNISANT'ANNA,SP
CENTRO UNIVERSITÁRIO SERRA DOS ÓRGÃOS,UNIFESO,RJ
CENTRO UNIVERSITÁRIO SÃO CAMILO,CUSC,ES
CENTRO UNIVERSITÁRIO SÃO CAMILO,CUSC,SP
CENTRO UNIVERSITÁRIO TIRADENTES,FITS,AL
CENTRO UNIVERSITÁRIO UNA,UNA,MG
CENTRO UNIVERSITÁRIO UNIRG,UnirG,TO
CENTRO UNIVERSITÁRIO UNIVATES,UNIVATES,RS
CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO,UNIÍTALO,SP
CHRISTUS FACULDADE DO PIAUÍ,CHRISFAPI,PI
CLARETIANO REDE DE EDUCAÇÃO,CLARETIANO,RO
CONSERVATÓRIO BRASILEIRO DE MÚSICA - CENTRO UNIVERSITÁRIO,CBM/CEU,RJ
ESCOLA BAHIANA DE MEDICINA E SAÚDE PÚBLICA,EBMSP ,BA
ESCOLA BRASILEIRA DE ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS,EBAPE,RJ
ESCOLA BRASILEIRA DE ECONOMIA E FINANÇAS,EBEF,RJ
ESCOLA DA CIDADE - FACULDADE DE ARQUITETURA E URBANISMO,ESCOLA DA CIDADE,SP
ESCOLA DE ADMINISTRAÇÃO DE EMPRESAS DE SÃO PAULO,FGV-EAESP,SP
ESCOLA DE ADMINISTRAÇÃO DO EXÉRCITO,ESAEX ,BA
ESCOLA DE DIREITO DE SÃO PAULO,DIREITO GV,SP
ESCOLA DE DIREITO DO RIO DE JANEIRO,DIREITO RIO,RJ
ESCOLA DE ECONOMIA DE SÃO PAULO,EESP,SP
ESCOLA DE EDUCAÇÃO FÍSICA DE ASSIS,EEFA,SP
ESCOLA DE ENFERMAGEM WENCESLAU BRAZ,EEWB,MG
ESCOLA DE ENGENHARIA DE PIRACICABA,EEP/FUMEP,SP
ESCOLA DE ENGENHARIA ELETROMECÂNICA DA BAHIA,ESEEMB,BA
ESCOLA DE ENGENHARIA KENNEDY,EEK,MG
ESCOLA DE ENSINO SUPERIOR ANÍSIO TEIXEIRA,CESAT,ES
ESCOLA DE ESCTUDOS SUPERIORES DE VIÇOSA,ESUV,MG
ESCOLA DE GOVERNO PROFESSOR PAULO NEVES DE CARVALHO,EG,MG
ESCOLA DE MÚSICA E BELAS ARTES DO PARANÁ,EMBAP,PR
ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS,ENCE,RJ
ESCOLA NAVAL,EN,RJ
ESCOLA PERNAMBUCANA DE SAÚDE,FBVIMIP,PE
ESCOLA POLITÉCNICA DE PERNAMBUCO,POLI,PE
ESCOLA POLITÉCNICA DE SAO PAULO,POLI-USP,SP
ESCOLA POLITÉCNICA DE SAO PAULO,EP-USP,SP
ESCOLA SUPERIOR ASSOCIADA DE GOIÂNIA,ESUP,GO
ESCOLA SUPERIOR BATISTA DO AMAZONAS,Esbam,AM
ESCOLA SUPERIOR DA AMAZÔNIA,ESAMAZ,PA
ESCOLA SUPERIOR DE ADMINISTRAÇÃO E GESTÃO,ESAGS,SP
ESCOLA SUPERIOR DE CIÊNCIAS DA SANTA CASA DE MISERICÓRDIA DE VITÓRIA,EMESCAM,ES
ESCOLA SUPERIOR DE CIÊNCIAS DA SAÚDE,ESCS,DF
ESCOLA SUPERIOR DE CRICIÚMA - ESUCRI,ESUCRI,SC
ESCOLA SUPERIOR DE CRUZEIRO PREFEITO HAMILTON VIEIRA MENDES,ESEFIC,SP
ESCOLA SUPERIOR DE EDUCAÇÃO FÍSICA DE JUNDIAÍ,ESEFJ,SP
ESCOLA SUPERIOR DE EDUCAÇÃO FÍSICA,ESEF,PE
ESCOLA SUPERIOR DE ENGENHARIA E GESTÃO DE SÃO PAULO - ESEG,ESEG,SP
ESCOLA SUPERIOR DE ENSINO HELENA ANTIPOFF,ESEHA,RJ
ESCOLA SUPERIOR DE ESTUDOS EMPRESARIAIS E INFORMÁTICA,ESEEI,PR
ESCOLA SUPERIOR DE GESTÃO COMERCIAL E MARKETING,ESIC,PR
ESCOLA SUPERIOR DE HOTELARIA CASTELLI,CASTELLI,RS
ESCOLA SUPERIOR DE MARKETING,ESM,PE
ESCOLA SUPERIOR DE MÚSICA E ARTES DO RIO GRANDE DO SUL,ESMARGS,RS
ESCOLA SUPERIOR DE PROPAGANDA E MARKETING,ESPM,SP
ESCOLA SUPERIOR DE RELAÇÕES PÚBLICAS,Esurp,PE
ESCOLA SUPERIOR DE SAÚDE DE ARCOVERDE,ESSA,PE
ESCOLA SUPERIOR DE SECRETARIADO DE PERNAMBUCO,ESUSPE,PE
ESCOLA SUPERIOR DE TECNOLOGIA E EDUCAÇÃO DE PORTO FERREIRA,ESPF,SP
ESCOLA SUPERIOR DE TECNOLOGIA E EDUCAÇÃO DE RIO CLARO,ESRC,SP
ESCOLA SUPERIOR DOM HELDER CÂMARA,ESDHC,MG
ESCOLA SUPERIOR EM MEIO AMBIENTE,ESMA,MG
ESCOLA SUPERIOR MADRE CELESTE,ESMAC,PA
ESCOLA SUPERIOR NACIONAL DE SEGUROS,ESNS,RJ
ESCOLA SUPERIOR SÃO FRANCISCO DE ASSIS,ESFA,ES
ESCOLA TÉCNICA E SUPERIOR MACHADO DE ASSIS  SANTA ROSA,FEMA,RS
ESTÁCIO DE SÁ  FACULDADE DO PARÁ,ESTÁCIO FAP,PA
ESTÁCIO FATERN - FACULDADE ESTÁCIO DO RIO GRANDE DO NORTE,ESTÁCIO FATERN,RN
FACISA-UNAI FACULDADE DE CIÊNCIAS DA SAÚDE DE UNAÍ,FACISA-UNAI,MG
FACULDADE 7 DE SETEMBRO,Fa7,CE
FACULDADE ADELMAR ROSADO,FAR,PI
FACULDADE ADVENTISTA DA BAHIA,FADBA ,BA
FACULDADE ADVENTISTA DE HORTOLÂNDIA,FAH,SP
FACULDADE ADVENTISTA PARANAENSE,IAP,PR
FACULDADE AFIRMATIVO,FAFI,MT
FACULDADE AIEC,AIEC / FAAB,DF
FACULDADE ALAGOANA DE ADMINISTRAÇÃO,FAA,AL
FACULDADE ALBERT EINSTEIN,FALBE,DF
FACULDADE ALDETE MARIA ALVES,FAMA,MG
FACULDADE ALFA BRASIL,FAAB,PR
FACULDADE ALFACASTELO,FCGB,SP
FACULDADE ALFREDO NASSER,FAN,GO
FACULDADE ALIANÇA,ALIANÇA,PI
FACULDADE ALMEIDA RODRIGUES,FAR,GO
FACULDADE ALVES FARIA,ALFA,GO
FACULDADE ALVORADA DE EDUCAÇÃO FÍSICA E DESPORTO,FAEFD,DF
FACULDADE ALVORADA DE TECNOLOGIA E EDUCAÇÃO DE MARINGÁ,FACULDADE ALVORADA,PR
FACULDADE AMADEUS,FAMA,SE
FACULDADE AMEC TRABUCO,AMAEC ,BA
FACULDADE ANCHIETA DE ENSINO SUPERIOR DO PARANÁ,FAESP,PR
FACULDADE ANCHIETA DO RECIFE,FAR,PE
FACULDADE ANCHIETA,IGABC,SP
FACULDADE ANGLICANA DE ERECHIM,FAE,RS
FACULDADE ANGLO-AMERICANO DE JOÃO PESSOA,FAAJP,PB
FACULDADE ANGLO-AMERICANO,FAA,PR
FACULDADE ANGLOAMERICANO DE CAXIAS DO SUL,FAACS,RS
FACULDADE ANHANGUERA DE ANÁPOLIS,FAA,GO
FACULDADE ANHANGUERA DE BRASÍLIA,FAB,DF
FACULDADE ANHANGUERA DE CASCAVEL,FACIAP,PR
FACULDADE ANHANGUERA DE CAXIAS DO SUL,FACS,RS
FACULDADE ANHANGUERA DE CIÊNCIAS E TECNOLOGIA DE BRASÍLIA,FACITEB,DF
FACULDADE ANHANGUERA DE CUIABÁ,FAC,MT
FACULDADE ANHANGUERA DE EDUCAÇÃO CIÊNCIAS E TECNOLOGIA DE SOROCABA,FAECTS,SP
FACULDADE ANHANGUERA DE GUARULHOS,FIT,SP
FACULDADE ANHANGUERA DE NEGÓCIOS E TECNOLOGIAS DA INFORMAÇÃO,FACNET,DF
FACULDADE ANHANGUERA DE OSASCO,FIZO,SP
FACULDADE ANHANGUERA DE SERTÃOZINHO,FASERT,SP
FACULDADE ANHANGUERA DE SUMARÉ,FACSUMARÉ,SP
FACULDADE ANHANGUERA DE SÃO BERNARDO,FASBC,SP
FACULDADE ANHANGUERA DE SÃO CAETANO,Fasc,SP
FACULDADE ANHANGUERA DE TABOÃO DA SERRA,FATS,SP
FACULDADE ANHANGUERA DE TAGUATINGA,FAST,DF
FACULDADE ANHANGUERA DE TECNOLOGIA DE JUNDUAÍ,FATJ,SP
FACULDADE ANHANGUERA DE VALPARAÍSO,FAV,GO
FACULDADE ANHANGUERA JARAGUÁ DO SUL,FATEJA,SC
FACULDADE ANHANGÜERA DE DOURADOS,FAD,MS
FACULDADE ANHANGÜERA DE SOROCABA,FSO,SP
FACULDADE ANTONIO MENEGHETTI,FAM,RS
FACULDADE ANÍSIO TEIXEIRA DE FEIRA DE SANTANA,FAT,BA
FACULDADE APOGEU,APOGEU,DF
FACULDADE ARAGUAIA,FARA,GO
FACULDADE ARNALDO HORÁCIO FERREIRA,FAAHF,BA
FACULDADE ARQUIDIOCESANA DE CURVELO,FAC,MG
FACULDADE ARTHUR SÁ EARP NETO,FASE,RJ
FACULDADE ARTHUR THOMAS,CESA,PR
FACULDADE ASA DE BRUMADINHO,IECEMB - FAB,MG
FACULDADE ASCES,ASCES,PE
FACULDADE ASSIS GURGACZ,FAG,PR
FACULDADE ASSOCIADA BRASIL,FAB,SP
FACULDADE ASTORGA,FAAST,PR
FACULDADE ATENAS MARANHENSE,FAMA,MA
FACULDADE ATENEU,FATE,DF
FACULDADE ATLÂNTICO,ATLANTICO,SE
FACULDADE ATUAL,FAAT,AP
FACULDADE AUTÔNOMA DE DIREITO,FADISP,SP
FACULDADE AVANTIS,AVANTIS,SC
FACULDADE AVEC DE VILHENA,AVEC,RO
FACULDADE AÇÃO,FCTVALE,SC
FACULDADE BAIANA DE CIÊNCIAS CONTÁBEIS,FABAC ,BA
FACULDADE BAIANA DE DIREITO,FBD,BA
FACULDADE BARDDAL DE ARTES APLICADAS,FB-AA,SC
FACULDADE BARDDAL,FB-SI,SC
FACULDADE BARRETOS,FB,SP
FACULDADE BARÃO DO RIO BRANCO,FAB,AC
FACULDADE BATISTA BRASILEIRA,FBB,BA
FACULDADE BATISTA BRASILEIRA,FBB,BA
FACULDADE BATISTA DE MINAS GERAIS,FBMG,MG
FACULDADE BATISTA DE VITORIA,FABAVI,ES
FACULDADE BATISTA DO RIO DE JANEIRO,FABAT,RJ
FACULDADE BERTIOGA,FABE,SP
FACULDADE BETIM,FABE,MG
FACULDADE BEZERRA DE ARAÚJO,FABA,RJ
FACULDADE BIRIGUI,FABI,SP
FACULDADE BOA VIAGEM,FBV,PE
FACULDADE BOAS NOVAS DE CIÊNCIAS TEOLÓGICAS SOCIAIS E BIOTECNOLÓGICAS,FBNCTSB,AM
FACULDADE BORGES DE MENDONÇA,FBM,SC
FACULDADE BRASIL CENTRAL,FBC,GO
FACULDADE BRASIL NORTE,FABRAN,AP
FACULDADE BRASILEIRA DE EDUCAÇÃO E CULTURA,FABEC BRASIL,GO
FACULDADE BRASILEIRA,MULTIVIX VITÓRIA,ES
FACULDADE BRASILEIRA,UNIVIX,ES
FACULDADE BRASÍLIA DE SÃO PAULO,FABRASP,SP
FACULDADE BÉTHENCOURT DA SILVA,FABES,RJ
FACULDADE CALAFIORI,CALAFIORI,MG
FACULDADE CAMAQÜENSE DE CIÊNCIAS CONTÁBEIS E ADMINISTRATIVAS,FACCCA,RS
FACULDADE CAMBURY,CAMBURY,GO
FACULDADE CAMPO GRANDE,FCG,MS
FACULDADE CAMPO REAL,CAMPO REAL,PR
FACULDADE CAMPOS ELÍSEOS,FCE,SP
FACULDADE CANDIDO MENDES DE VITÓRIA,FCMV,ES
FACULDADE CAPIVARI,FUCAP,SC
FACULDADE CAPIXABA DA SERRA,MULTIVIX SERRA,ES
FACULDADE CAPIXABA DE NOVA VENÉCIA,MULTIVIX NOVA VENÉCI,ES
FACULDADE CARLOS DRUMMOND DE ANDRADE,FCDA,SP
FACULDADE CASA BRANCA,FACAB,SP
FACULDADE CASA DO ESTUDANTE,FACE,ES
FACULDADE CASTELO BRANCO,FCB,ES
FACULDADE CASTRO ALVES,FCA,BA
FACULDADE CATUAÍ,ICES,PR
FACULDADE CATÓLICA DE ANÁPOLIS,Fac,GO
FACULDADE CATÓLICA DE CIÊNCIAS ECONÔMICAS DA BAHIA,FACCEBA,BA
FACULDADE CATÓLICA DE FORTALEZA,FCF,CE
FACULDADE CATÓLICA DE POUSO ALEGRE,FACAPA,MG
FACULDADE CATÓLICA DE RONDONIA,FCR,RO
FACULDADE CATÓLICA DE UBERLÂNDIA,FCU,MG
FACULDADE CATÓLICA DO CEARÁ,FCC,CE
FACULDADE CATÓLICA DO TOCANTINS,FACTO,TO
FACULDADE CATÓLICA DOM ORIONE,FACDO,TO
FACULDADE CATÓLICA RAINHA DA PAZ DE ARAPUTANGA,FCARP,MT
FACULDADE CATÓLICA RAINHA DO SERTÃO,FCRS,CE
FACULDADE CATÓLICA SANTA TERESINHA,FCST,RN
FACULDADE CCAA,FAC CCAA,RJ
FACULDADE CECAP DO LAGO NORTE,CECAP,DF
FACULDADE CENECISTA DE BENTO GONÇALVES,FACEBG,RS
FACULDADE CENECISTA DE CAMPO LARGO,FACECLA,PR
FACULDADE CENECISTA DE ITABORAÍ,FACNEC,RJ
FACULDADE CENECISTA DE JOINVILLE - FACE,FCJ,SC
FACULDADE CENECISTA DE NOVA PETRÓPOLIS,FACENP,RS
FACULDADE CENECISTA DE OSÓRIO,FACOS,RS
FACULDADE CENECISTA DE RIO DAS OSTRAS,FCRO,RJ
FACULDADE CENECISTA DE RONDONÓPOLIS,FACER,MT
FACULDADE CENECISTA DE SETE LAGOAS,FCSL,MG
FACULDADE CENECISTA DE SINOP,FACENOP,MT
FACULDADE CENECISTA DE VARGINHA,FACECA,MG
FACULDADE CENECISTA DE VILA VELHA,FACEVV,ES
