universidade,sigla,estado
INSTITUTO FEDERAL DE EDUCAÇÃO CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE,IFSul,RS
INSTITUTO FEDERAL DE GOIÁS,IFG,GO
INSTITUTO FEDERAL DE MATO GROSSO DO SUL,IFMS,MS
INSTITUTO FEDERAL DE MINAS GERAIS,IFMG,MG
INSTITUTO FEDERAL DE PERNAMBUCO,IFPE,PE
INSTITUTO FEDERAL DE RONDÔNIA,IFRO,RO
INSTITUTO FEDERAL DE RORAIMA,IFRR,RR
INSTITUTO FEDERAL DE SANTA CATARINA,IFSC,SC
INSTITUTO FEDERAL DE SERGIPE,IFS,SE
INSTITUTO FEDERAL DO ACRE,IFAC,AC
INSTITUTO FEDERAL DO AMAPÁ,Ifap,AP
INSTITUTO FEDERAL DO AMAZONAS,Ifam,AM
INSTITUTO FEDERAL DO CEARÁ,Ifce,CE
INSTITUTO FEDERAL DO ESPÍRITO SANTO,IFES,ES
INSTITUTO FEDERAL DO MARANHÃO,IFMA,MA
INSTITUTO FEDERAL DO MATO GROSSO,IFMT,MT
INSTITUTO FEDERAL DO NORTE DE MINAS,IFNM,MG
INSTITUTO FEDERAL DO PARÁ,IFPA,PA
INSTITUTO FEDERAL DO PIAUÍ,IFPI,PI
INSTITUTO FEDERAL DO RIO DE JANEIRO,IFRJ,RJ
INSTITUTO FEDERAL DO RIO GRANDE DO NORTE,IFRN,RN
INSTITUTO FEDERAL DO RIO GRANDE DO SUL,IFRS,RS
INSTITUTO FEDERAL DO SERTÃO PERNAMBUCANO,IFSertãoPE,PE
INSTITUTO FEDERAL DO SUDESTE DE MINAS,IFSM,MG
INSTITUTO FEDERAL DO SUL DE MINAS,IFSUM,MG
INSTITUTO FEDERAL DO TOCANTINS,IFTO,TO
INSTITUTO FEDERAL DO TRIÂNGULO MINEIRO,IFTM,MG
INSTITUTO FEDERAL FARROUPILHA,IFFarroupilha,RS
INSTITUTO FEDERAL FLUMINENSE,IFF,RJ
INSTITUTO FEDERAL GOIANO,IF Goiano,GO
INSTITUTO FLORENCE DE ENSINO SUPERIOR,IFES,MA
INSTITUTO INFNET RIO DE JANEIRO,INFNET,RJ
INSTITUTO INFNET,INFNET,RJ
INSTITUTO ITAPETININGANO DE ENSINO SUPERIOR,IIES,SP
INSTITUTO JORDÃO DE ARRUDA,INSJAR,GO
INSTITUTO LUTERANO DE ENSINO SUPERIOR DE PORTO VELHO,ILES/ULBRA,RO
INSTITUTO MANCHESTER PAULISTA DE ENSINO SUPERIOR,IMAPES,SP
INSTITUTO MATONENSE MUNICIPAL DE ENSINO SUPERIOR,IMMES,SP
INSTITUTO MAUÁ DE TECNOLOGIA,IMT,SP
INSTITUTO MAUÁ DE TECNOLOGIA,IMT,SP
INSTITUTO METODISTA BENNETT,BENNETT,RJ
INSTITUTO METROPOLITANO DE ENSINO SUPERIOR,IMES,MG
INSTITUTO MILITAR DE ENGENHARIA,IME,RJ
INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE ASSIS,IMESA,SP
INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE BEBEDOURO VICTÓRIO CARDASSI,IMESB,SP
INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE CATANDUVA,IMES Catanduva,SP
INSTITUTO MUNICIPAL DE ENSINO SUPERIOR DE SÃO MANUEL,IMESSM,SP
INSTITUTO NACIONAL DE EDUCAÇÃO DE SURDOS,INES,RJ
INSTITUTO NACIONAL DE ENSINO SUPERIOR E PÓS-GRADUAÇÃO PADRE GERVÁSIO,INAPÓS,MG
INSTITUTO NACIONAL DE TELECOMUNICAÇÕES,INATEL,MG
INSTITUTO PARAIBANO DE ENSINO RENOVADO,INPER,PB
INSTITUTO PAULISTA DE ENSINO,FIPEN,SP
INSTITUTO PERNAMBUCANO DE ENSINO SUPERIOR,IPESU,PE
INSTITUTO PERNAMBUCO DE ENSINO E CULTURA,IPEC,PE
INSTITUTO SALESIANO DE FILOSOFIA,INSAF,PE
INSTITUTO SANTO TOMÁS DE AQUINO,ISTA,MG
INSTITUTO SUPERIOR DE CIÊNCIAS APLICADAS - ISCA,ISCA,SP
INSTITUTO SUPERIOR DE CIÊNCIAS HUMANAS E SOCIAIS ANÍSIO TEIXEIRA,ISAT,RJ
INSTITUTO SUPERIOR DE EDUCAÇÃO ALBERT EINSTEIN,ISALBE,DF
INSTITUTO SUPERIOR DE EDUCAÇÃO ALMEIDA RODRIGUES,ISEAR,GO
INSTITUTO SUPERIOR DE EDUCAÇÃO ALVORADA PLUS,ISEAP,SP
INSTITUTO SUPERIOR DE EDUCAÇÃO ANCHIETA,ISEA,PE
INSTITUTO SUPERIOR DE EDUCAÇÃO ANTONINO FREIRE,ISEAF,PI
INSTITUTO SUPERIOR DE EDUCAÇÃO DE CAMPOS GERAIS,ISEC,MG
INSTITUTO SUPERIOR DE EDUCAÇÃO DE FLORESTA,ISEF,PE
INSTITUTO SUPERIOR DE EDUCAÇÃO DE GOIANA,ISEG,PE
INSTITUTO SUPERIOR DE EDUCAÇÃO DE PESQUEIRA,ISEP,PE
INSTITUTO SUPERIOR DE EDUCAÇÃO DE SALGUEIRO,ISES,PE
INSTITUTO SUPERIOR DE EDUCAÇÃO DE SÃO PAULO,SINGULARIDADES/ISESP,SP
INSTITUTO SUPERIOR DE EDUCAÇÃO DO CENTRO EDUCACIONAL NOSSA SENHORA AUXILIADORA,ISECENSA,RJ
INSTITUTO SUPERIOR DE EDUCAÇÃO DO MUNICÍPIO DE ITAPERUNA,ISEMI,RJ
INSTITUTO SUPERIOR DE EDUCAÇÃO DO SERTÃO DO PAJEÚ,ISESP,PE
INSTITUTO SUPERIOR DE EDUCAÇÃO DO VALE DO JURUENA,AJES,MT
INSTITUTO SUPERIOR DE EDUCAÇÃO ELVIRA DAYRELL,ISEED,MG
INSTITUTO SUPERIOR DE EDUCAÇÃO FRANCISCANO NOSSA SENHORA DE FÁTIMA,FATIMA,DF
INSTITUTO SUPERIOR DE EDUCAÇÃO ORÍGENES LESSA,ISEOL,SP
INSTITUTO SUPERIOR DE EDUCAÇÃO PAULO MARTINS,ISPAM,DF
INSTITUTO SUPERIOR DE EDUCAÇÃO PROFESSOR ALDO MUYLAERT,ISEPAM,RJ
INSTITUTO SUPERIOR DE EDUCAÇÃO PROFESSORA NAIR FORTES ABU-MERHY,ISEFOR,MG
INSTITUTO SUPERIOR DE EDUCAÇÃO SANTA CRUZ,ISED,PE
INSTITUTO SUPERIOR DE EDUCAÇÃO SÃO JUDAS TADEU,ISESJT,PI
INSTITUTO SUPERIOR DE EDUCAÇÃO UNIÃO DAS AMÉRICAS,UNIAMÉRICA,PR
INSTITUTO SUPERIOR DE EDUCAÇÃO VERDE NORTE,FAVENORTE,MG
INSTITUTO SUPERIOR DE ENSINO E PESQUISA DE ITUIUTABA,ISEPI,MG
INSTITUTO SUPERIOR DE FILOSOFIA BERTHIER,IFIBE,RS
INSTITUTO SUPERIOR DE TECNOLOGIA EM CIÊNCIAS DA COMPUTAÇÃO DE PARACAMBI,ISTParacambi,RJ
INSTITUTO SUPERIOR DE TECNOLOGIA EM CIÊNCIAS DA COMPUTAÇÃO DE PETRÓPOLIS,ISTCCP,RJ
INSTITUTO SUPERIOR DE TECNOLOGIA EM CIÊNCIAS DA COMPUTAÇÃO DO RIO DE JANEIRO,ISTRio,RJ
INSTITUTO SUPERIOR DE TEOLOGIA APLICADA,Ista,CE
INSTITUTO SUPERIOR DO LITORAL DO PARANÁ,ISULPAR,PR
INSTITUTO SUPERIOR E CENTRO EDUCACIONAL LUTERANO - BOM JESUS - IELUSC,BOM JESUS/IELUSC,SC
INSTITUTO SÃO PAULO DE FORMAÇÃO E ESPECIALIZAÇÃO PROFISSIONAL,UniSãopaulo,SP
INSTITUTO TAQUARITINGUENSE DE ENSINO SUPERIOR DR. ARISTIDES DE CARVALHO SCHLOBACH,ITES,SP
INSTITUTO TAUBATÉ DE ENSINO SUPERIOR,I.T.E.S.,SP
INSTITUTO TECNOLÓGICO DE AERONÁUTICA,ITA,SP
INSTITUTO TECNOLÓGICO DE CARATINGA,ITC,MG
INSTITUTO TECNOLÓGICO E DAS CIÊNCIAS SOCIAIS APLICADAS E DA SAÚDE DO CENTRO EDUC. N. SRª AUXILIADORA,ITCSAS/CENSA,RJ
INSTITUTO TOCANTINENSE PRESIDENTE ANTÔNIO CARLOS DE PORTO NACIONAL,ITPAC de Porto Nacional,TO
INSTITUTO TOCANTINENSE PRESIDENTE ANTÔNIO CARLOS,ITPAC,TO
INSTITUTO UNIFICADO DE ENSINO SUPERIOR OBJETIVO,IUESO,GO
MATER CHRISTI,Faculdade,RN
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUCCampinas,SP
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS,PUC,GO
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUCMG,MG
PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUCSP,SP
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,PR
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUCRIO,RJ
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,RJ
PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,RS
SERVIÇO NACIONAL DE APRENDIZAGEM INDUSTRIAL,SENAI/CIMATEC ,BA
SOCIEDADE EDUCACIONAL DE SANTA CATARINA,SOCIESC,SC
SOCIEDADE UNIVERSITÁRIA REDENTOR,REDENTOR,RJ
TREVISAN ESCOLA SUPERIOR DE NEGÓCIOS,TREVISAN,SP
UNIDADE DE ENSINO SUPERIOR DOM BOSCO,UNDB,MA
UNIDADE DE ENSINO SUPERIOR EXPOENTE,UNIEXP,PR
UNISA  FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DO ALTO SÃO FRANCISCO,FASF,MG
UNIVERSIDADE ALTO VALE DO RIO DO PEIXE,UNIARP,SC
UNIVERSIDADE ANHANGUERA,Unianhanguera,GO
UNIVERSIDADE ANHEMBI MORUMBI,UAM,SP
UNIVERSIDADE BANDEIRANTE DE SÃO PAULO,UNIBAN,SP
UNIVERSIDADE BARRIGA VERDE,UNIBAVE,SC
UNIVERSIDADE BRAZ CUBAS,UBC,SP
UNIVERSIDADE CAMILO CASTELO BRANCO,UNICASTELO,SP
UNIVERSIDADE CASTELO BRANCO,UCB,RJ
UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,DF
UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,RS
UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,PE
UNIVERSIDADE CATÓLICA DE SALVADOR,UCSAL ,BA
UNIVERSIDADE CATÓLICA DE SANTOS,UNISANTOS,SP
UNIVERSIDADE CATÓLICA DOM BOSCO,UCDB,MS
UNIVERSIDADE COMUNITÁRIA REGIONAL DE CHAPECÓ,UNOCHAPECÓ,SC
UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,SP
UNIVERSIDADE CÂNDIDO MENDES,UCAM,RJ
UNIVERSIDADE DA AMAZÔNIA,UNAMA,PA
UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,UNILAB,CE
UNIVERSIDADE DA REGIÃO DA CAMPANHA,URCAMP,RS
UNIVERSIDADE DA REGIÃO DE JOINVILLE,UNIVILLE,SC
UNIVERSIDADE DE ALFENAS JOSÉ DO ROSÁRIO VELLANO,UNIFENAS,MG
UNIVERSIDADE DE BRASÍLIA,UnB,DF
UNIVERSIDADE DE CAXIAS DO SUL,UCS,RS
UNIVERSIDADE DE CRUZ ALTA,UNICRUZ,RS
UNIVERSIDADE DE CUIABÁ,UNIC,MT
UNIVERSIDADE DE FORTALEZA,Unifor,CE
UNIVERSIDADE DE FRANCA,UNIFRAN,SP
UNIVERSIDADE DE GUARULHOS,UNG,SP
UNIVERSIDADE DE ITAÚNA,UIT,MG
UNIVERSIDADE DE MARÍLIA,UNIMAR,SP
UNIVERSIDADE DE MOGI DAS CRUZES,UMC,SP
UNIVERSIDADE DE PASSO FUNDO,UPF,RS
UNIVERSIDADE DE RIBEIRÃO PRETO,UNAERP,SP
UNIVERSIDADE DE RIO VERDE2,FESURV,GO
UNIVERSIDADE DE SANTA CRUZ DO SUL,UNISC,RS
UNIVERSIDADE DE SOROCABA,UNISO,SP
UNIVERSIDADE DE SÃO PAULO,USP,SP
UNIVERSIDADE DE SÃO PAULO,USP-SP,SP
UNIVERSIDADE DE SÃO PAULO,ICMC-USP,SP
UNIVERSIDADE DE SÃO PAULO (SAO CARLOS),USP-SC,SP
UNIVERSIDADE DE TAUBATÉ,UNITAU,SP
UNIVERSIDADE DE UBERABA,UNIUBE,MG
UNIVERSIDADE DO CEUMA - UNICEUMA,UNICEUMA,MA
UNIVERSIDADE DO CONTESTADO,UNC,SC
UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,BA
UNIVERSIDADE DO ESTADO DE MATO GROSSO,UNEMAT,MT
UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,MG
UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,SC
UNIVERSIDADE DO ESTADO DO AMAZONAS,Uea,AM
UNIVERSIDADE DO ESTADO DO PARÁ,UEPA,PA
UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,RJ
UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,RN
UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNESC,SC
UNIVERSIDADE DO GRANDE ABC,UniABC,SP
UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,UNIGRANRIO,RJ
UNIVERSIDADE DO GRANDE RIO,UNIGRANRIO,RJ
UNIVERSIDADE DO NORTE DO PARANÁ,UNOPAR,PR
UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,SC
UNIVERSIDADE DO OESTE PAULISTA,UNOESTE,SP
UNIVERSIDADE DO PLANALTO CATARINENSE,UNIPLAC,SC
UNIVERSIDADE DO SAGRADO CORAÇÃO,USC,SP
UNIVERSIDADE DO SUL DE SANTA CATARINA,UNISUL,SC
UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,SC
UNIVERSIDADE DO VALE DO PARAÍBA,UNIVAP,SP
UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,RS
UNIVERSIDADE DO VALE DO SAPUCAÍ,UNIVAS,MG
UNIVERSIDADE ELETRÔNICA DO BRASIL,UEB,PR
UNIVERSIDADE ESTADUAL DA PARAÍBA,UEPB,PB
UNIVERSIDADE ESTADUAL DA ZONA OESTE,UEZO,RJ
UNIVERSIDADE ESTADUAL DE ALAGOAS,Uneal,AL
UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,SP
UNIVERSIDADE ESTADUAL DE CAMPINAS,IC-UNICAMP,SP
UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP-ALFA,SP
UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS,Uncisal,AL
UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,UEFS,BA
UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,GO
UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,PR
UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,PR
UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,MG
UNIVERSIDADE ESTADUAL DE PONTA GROSSA,UEPG,PR
UNIVERSIDADE ESTADUAL DE RORAIMA,UERR,RR
UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,BA
UNIVERSIDADE ESTADUAL DO AMAPÁ,Ueap,AP
UNIVERSIDADE ESTADUAL DO CEARÁ,Uece,CE
UNIVERSIDADE ESTADUAL DO CENTROOESTE,UNICENTRO,PR
UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,MA
UNIVERSIDADE ESTADUAL DO MATO GROSSO DO SUL,UEMS,MS
UNIVERSIDADE ESTADUAL DO NORTE DO PARANÁ,UENP,PR
UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE,UENF,RJ
UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIOESTE,PR
UNIVERSIDADE ESTADUAL DO PARANÁ,UNESPAR,PR
UNIVERSIDADE ESTADUAL DO PIAUÍ,UESPI,PI
UNIVERSIDADE ESTADUAL DO RIO GRANDE DO SUL,UERGS,RS
UNIVERSIDADE ESTADUAL DO SUDOESTE DA BAHIA,UESB,BA
UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,SP
UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,Uva,CE
UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,ES
UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,GO
UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,RJ
UNIVERSIDADE EVANGELICA,UniEvangelica,GO
UNIVERSIDADE FEDERAL DA BAHIA,UFBA,BA
UNIVERSIDADE FEDERAL DA FRONTEIRA DO SUL,UFFS,PR
UNIVERSIDADE FEDERAL DA FRONTEIRA DO SUL,UFFS,RS
UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UFFS,SC
UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,MS
UNIVERSIDADE FEDERAL DA INTEGRAÇÃO LATINOAMERICANA,UNILA,PR
UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,PB
UNIVERSIDADE FEDERAL DE ALAGOAS,Ufal,AL
UNIVERSIDADE FEDERAL DE ALFENAS,UNIFAL,MG
UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,PB
UNIVERSIDADE FEDERAL DE CIÊNCIAS DA SAÚDE DE PORTO ALEGRE,UFCSPA,RS
UNIVERSIDADE FEDERAL DE GOIÁS,UFG,GO
UNIVERSIDADE FEDERAL DE INTEGRAÇÃO LUSOAFRO,UNILAB,CE
UNIVERSIDADE FEDERAL DE ITAJUBÁ,UNIFEI,MG
UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,MG
UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,MG
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,MT
UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,MG
UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,MG
UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,RS
UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,PE
UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,RO
UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,RR
UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,SC
UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,RS
UNIVERSIDADE FEDERAL DE SERGIPE,UFS,SE
UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,SP
UNIVERSIDADE FEDERAL DE SÃO JOÃO DELREI,UFSJ,MG
UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,SP
UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,MG
UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,MG
UNIVERSIDADE FEDERAL DO ABC,UFABC,SP
UNIVERSIDADE FEDERAL DO ACRE,UFAC,AC
UNIVERSIDADE FEDERAL DO AMAPÁ,Unifap,AP
UNIVERSIDADE FEDERAL DO AMAZONAS,Ufam,AM
UNIVERSIDADE FEDERAL DO CEARÁ,UFC,CE
UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,ES
UNIVERSIDADE FEDERAL DO ESTADO DO RIO DE JANEIRO,UNIRIO,RJ
UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,MA
UNIVERSIDADE FEDERAL DO MATO GROSSO DO SUL,UFMS,MS
UNIVERSIDADE FEDERAL DO OESTE DO PARÁ,UFOPA,PA
UNIVERSIDADE FEDERAL DO PAMPA,UNIPAMPA,RS
UNIVERSIDADE FEDERAL DO PANTANAL,UFPAN,MS
UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,PR
UNIVERSIDADE FEDERAL DO PARÁ,UFPA,PA
UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,PI
UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,BA
UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,RJ
UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,RN
UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,RS
UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,RS
UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,TO
UNIVERSIDADE FEDERAL DO TRIÂNGULO MINEIRO,UFTM,MG
UNIVERSIDADE FEDERAL DOS VALES DO JEQUITINHONHA E MUCURI,UFVJM,MG
UNIVERSIDADE FEDERAL FLUMINENSE,UFF,RJ
UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,PA
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE
UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,UFRPE,PE
UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,RJ
UNIVERSIDADE FEDERAL RURAL DO SEMIÁRIDO,UFERSA,RN
UNIVERSIDADE FEEVALE,FEEVALE,RS
UNIVERSIDADE FUMEC,FUMEC,MG
UNIVERSIDADE GAMA E SOUZA,UGS,RJ
UNIVERSIDADE GAMA FILHO,UGF,RJ
UNIVERSIDADE IBIRAPUERA,UNIB,SP
UNIVERSIDADE IGUAÇU,UNIG,RJ
UNIVERSIDADE LUTERANA DO BRASIL,ULBRA,AM
UNIVERSIDADE LUTERANA DO BRASIL,ULBRA,GO
UNIVERSIDADE LUTERANA DO BRASIL,ULBRA,RN
UNIVERSIDADE LUTERANA DO BRASIL,ULBRA,RS
UNIVERSIDADE LUTERANA DO BRASIL,ULBRA,TO
UNIVERSIDADE METODISTA DE PIRACICABA,UNIMEP,SP
UNIVERSIDADE METODISTA DE SÃO PAULO,UMESP,SP
UNIVERSIDADE METROPOLITANA DE SANTOS,UNIMES,SP
UNIVERSIDADE MUNICIPAL DE SÃO CAETANO DO SUL,USCS,SP
UNIVERSIDADE MUNICIPAL DE SÃO JOSÉ,USJ,SC
UNIVERSIDADE NILTON LINS,UNINILTONLINS,AM
UNIVERSIDADE NORTE DO PARANÁ,UNOPAR,DF
UNIVERSIDADE NORTE DO PARANÁ,UNOPAR,ES
UNIVERSIDADE NORTE DO PARANÁ,UNOPAR,RN
UNIVERSIDADE NORTE DO PARANÁ,UNOPAR,SE
UNIVERSIDADE NOVE DE JULHO,UNINOVE,SP
UNIVERSIDADE PARA O DESENVOLVIMENTO DO ESTADO E REGIÃO DO PANTANAL,UNIDERP,MS
UNIVERSIDADE PARANAENSE,UNIPAR,PR
UNIVERSIDADE PAULISTA,UNIP,DF
UNIVERSIDADE PAULISTA,UNIP,GO
UNIVERSIDADE PAULISTA,UNIP,PA
UNIVERSIDADE PAULISTA,UNIP,PE
UNIVERSIDADE PAULISTA,UNIP,SP
UNIVERSIDADE PAULISTA,Unip,AM
UNIVERSIDADE POSITIVO,UP,PR
UNIVERSIDADE POTIGUAR,UNP,RN
UNIVERSIDADE PRESBITERIANA MACKENZIE,MACK,SP
UNIVERSIDADE PRESIDENTE ANTÔNIO CARLOS,UNIPAC,MG
UNIVERSIDADE REGIONAL DO CARIRI,Urca,CE
UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL,UNIJUÍ,RS
UNIVERSIDADE REGIONAL INTEGRADA DO ALTO URUGUAI E DAS MISSÕES,URI,RS
UNIVERSIDADE SALGADO DE OLIVEIRA,UNIVERSO,BA
UNIVERSIDADE SALGADO DE OLIVEIRA,UNIVERSO,GO
UNIVERSIDADE SALGADO DE OLIVEIRA,UNIVERSO,MG
UNIVERSIDADE SALGADO DE OLIVEIRA,UNIVERSO,PE
UNIVERSIDADE SALGADO DE OLIVEIRA,UNIVERSO,RJ
UNIVERSIDADE SALVADOR,UNIFACS,BA
UNIVERSIDADE SANTA CECÍLIA,UNISANTA,SP
UNIVERSIDADE SANTA ÚRSULA,USU,RJ
UNIVERSIDADE SANTO AMARO,UNISA,SP
UNIVERSIDADE SEVERINO SOMBRA,USS,RJ
UNIVERSIDADE SÃO FRANCISCO,USF,SP
UNIVERSIDADE SÃO JUDAS TADEU,USJT,SP
UNIVERSIDADE SÃO MARCOS,UNIMARCO,SP
UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,PR
UNIVERSIDADE TIRADENTES,Unit,SE
UNIVERSIDADE TIRADENTES,UnitEAD,SE
UNIVERSIDADE TUIUTI DO PARANÁ,UTP,PR
UNIVERSIDADE VALE DO RIO DOCE,UNIVALE,MG
UNIVERSIDADE VEIGA DE ALMEIDA,UVA,RJ
UNIVERSIDADE VILA VELHA,UVV,ES
UNIVERSIDADE VIRTUAL DO MARANHÃO,UNIVIMA,MA
UNIVERSIDADE Á DISTANCIA DO NORTE DO PARANÁ,UNOPAR,RO
UNIVERSIDADES UNIDAS DO VALE DO ARAGUAIABARRA DO GARÇAS,UNIVAR,MT
UNIÃO DAS ESCOLAS DO GRUPO FAIMI DE EDUCAÇÃO,FAIMI,SP
UNIÃO DAS FACULDADES DOS GRANDES LAGOS,UNILAGO,SP
UNIÃO DE ENSINO DO SUDOESTE DO PARANÁ,UNISEP,PR
UNIÃO DE ENSINO SUPERIOR DE NOVA MUTUM,UNINOVA,MT
UNIÃO DE ENSINO SUPERIOR DE VIÇOSA,UNIVIÇOSA,MG
UNIÃO DE ESCOLAS SUPERIORES DA FUNESO,UNESF,PE
UNIÃO DINÂMICA DE FACULDADES CATARATAS,UDC,PR
UNIÃO EDUCACIONAL DE ENSINO SUPERIOR DO MÉDIO TOCANTINS,UNEST,TO
UNIÃO EDUCACIONAL DO NORTE,Uninorte,AC
UNIÃO LATINO-AMERICADA DE TECNOLOGIA,ULT,PR
UNIÃO METROPOLITANA DE EDUCAÇÃO E CULTURA,UNIME ,BA
